,Price,Address,Neighborhood,Bedrooms,Property_Type,Price_Scaled
125,1200000,GRA Phase 2 Magodo Kosofe Ikosi Lagos,Kosofe,2.0,Flat,-0.12362208879742137
126,1190000,Jakande Right side from VI Jakande Lekki Lagos,VI,1.0,mini,-0.12451819418311585
127,580000,Nicole Balogun Street Behind Bed mate Igbo Efon Lekki Lagos,Lekki,1.0,mini,-0.17918062271047866
128,4500000,Off Palace Way Oniru VI Extension VI Lagos,VI,3.0,Flat,0.1720926884817545
129,450000,Ogudu Ogudu beach estate Ogudu Gra Ogudu Lagos,Ogudu,1.0,mini,-0.1908299927245068
130,1800000,Orchid Hotel road Opposite Oceanbay Estate Chevron Lekki Lagos,Lekki,4.0,Duplex,-0.06985576565575304
131,4500000,off Palace Way Oniru VI Extension VI Lagos,VI,3.0,Flat,0.1720926884817545
132,25000,Magodo GRA Magodo Kosofe Ikosi Lagos,Kosofe,1.0,mini,-0.22891447161652187
133,4500000,Chief Collins Street Lekki Lekki Phase 1 Lekki Lagos,Lekki,4.0,Flat,0.1720926884817545
134,3000000,Boudillon court Chevron Lekki Lagos,Lekki,3.0,Flat,0.03767688062758365
135,25000,Magodo GRA Magodo Kosofe Ikosi Lagos,Kosofe,1.0,mini,-0.22891447161652187
136,1300000,Ogudu OGUdU gra Ogudu Gra Ogudu Lagos,Ogudu,3.0,Flat,-0.11466103494047665
137,1000000,Divine Estate Amuwo-Odofin Amuwo-Odofin Lagos,Amuwo-Odofin,3.0,Flat,-0.1415441965113108
138,1500000,Magodo GRA Magodo Kosofe Ikosi Lagos,Kosofe,2.0,Office,-0.09673892722658721
139,2500000,Off Allen Bus-stop Allen Avenue Ikeja Lagos,Ikeja,5.0,Duplex,-0.007128388657139971
140,1500000,Amuwo-Odofin Amuwo-Odofin Lagos,Amuwo-Odofin,3.0,Flat,-0.09673892722658721
141,500000,Mende Maryland Mende Maryland Lagos,Maryland,1.0,mini,-0.18634946579603445
142,30000,Carlton Gate Estate Chevron Lekki Lagos,Lekki,5.0,Duplex,-0.22846641892367464
143,1800000,Chevyview Chevyview Chevron Lekki Lagos,Lekki,3.0,Duplex,-0.06985576565575304
144,200000,Obadia Akoka Yaba Lagos,Yaba,1.0,mini,-0.2132326273668686
145,200000,Obadia Akoka Yaba Lagos,Yaba,1.0,mini,-0.2132326273668686
146,200000,Obadia Akoka Yaba Lagos,Yaba,1.0,mini,-0.2132326273668686
147,300000,Akoka Akoka Yaba Lagos,Yaba,1.0,mini,-0.2042715735099239
148,300000,Akoka Akoka Yaba Lagos,Yaba,1.0,mini,-0.2042715735099239
149,1000000,Iwaya Iwaya Iwaya Yaba Lagos,Yaba,2.0,Flat,-0.1415441965113108
150,300000,Akoka Akoka Yaba Lagos,Yaba,1.0,mini,-0.2042715735099239
151,60000,Ligali Ayorinde 1004 Ligali Ayorinde VI Lagos,VI,1004.0,Unknown,-0.22577810276659122
152,8000,off bajulaiye road Shomolu Shomolu Lagos,Shomolu,2.0,Unknown,-0.23043785077220247
153,8000,off bajulaiye road Shomolu Shomolu Lagos,Shomolu,2.0,Unknown,-0.23043785077220247
154,7000,Fola Agoro Fola Agoro Yaba Lagos,Yaba,2.0,Unknown,-0.23052746131077193
155,7000,Fola Agoro Fola Agoro Yaba Lagos,Yaba,2.0,Unknown,-0.23052746131077193
